carport_type,carport_type_name,panel_length_mm,panel_width_mm,panel_power_w,area_length_mm,number_row,delivery_area,delivery_artic_cost_gbp,total_power_kw,total_weight_kg,total_cost_gbp
4,GullWing,4000,1250,400,150000,6,Falkirk,1290,271.2,66706.85342,183948.96355
2,SingleMonoDecline,2000,1750,700,100000,3,Portsmouth,582,115.5,18032.1288,51945.151999999995
4,GullWing,1500,1500,600,150000,6,Worcester,456,342,37989.66132,107269.5833
1,SingleMonoIncline,4000,900,1000,100000,3,Southampton,585,306,23795.946659999998,67382.41665000001
1,SingleMonoIncline,2500,750,200,150000,3,Manchester,621,108.6,30879.500559999997,89600.3014
1,SingleMonoIncline,3000,1000,450,40000,3,Bristol,430,49.95,9401.954099999999,27053.115250000003
4,GullWing,3000,1500,1200,29000,6,Magor - Newry,1395,129.6,11386.86428,32208.470699999998
2,SingleMonoDecline,3000,1500,400,10000,3,Portsmouth,582,7.2,2774.73338,8473.42345
1,SingleMonoIncline,4000,1000,400,75000,3,Magor - Sligo,1750,82.8,17676.07778,50845.38445000002
1,SingleMonoIncline,4000,1000,1000,15000,3,Dumfries,1200,42,4969.70522,15229.133049999997
1,SingleMonoIncline,2333,1500,400,50000,3,Magor - Portlaoise,1550,38.4,10250.7016,30550.063999999995
2,SingleMonoDecline,2500,1500,600,75000,3,Bolton,644,84.6,14066.80928,40047.41320000001
2,SingleMonoDecline,1750,1500,400,60000,3,Bath,499,45.6,10614.39684,30590.7021
1,SingleMonoIncline,3500,1250,500,300000,3,Twickenham,742,339,63108.23244,178151.09110000005
1,SingleMonoIncline,3500,750,400,15000,3,Medway,797,21.6,4852.334419999999,14654.306049999997
4,GullWing,1500,1250,450,150000,6,Magor - Cork,1850,305.1,39215.45342,115610.46355
2,SingleMonoDecline,4000,900,700,250000,3,Peterborough,750,535.5,58099.46994,164507.38485
4,GullWing,2500,1000,300,9000,6,Lancaster,769,14.4,5037.9821999999995,14668.985499999999
2,SingleMonoDecline,4000,1134,300,150000,3,Harrogate,744,111.6,34718.1802,97710.2005
3,DuoMono,3000,1250,900,10000,6,London SW,761,43.2,5793.708699999999,16550.30175
4,GullWing,1500,1134,250,100000,6,Perth,1500,123,26534.398080000003,77739.90520000002
3,DuoMono,3500,1250,800,300000,6,Preston,670,1084.8,134979.1265,367137.16625000007
4,GullWing,2333,2500,1000,50000,6,Ilford,779,114,15494.707760000003,42789.439399999996
2,SingleMonoDecline,4000,1750,700,250000,3,Exeter,594,287.7,53321.24328,148163.69819999996
1,SingleMonoIncline,3000,1000,300,100000,3,Magor - Waterford,1750,83.7,21587.8962,64325.77049999999
2,SingleMonoDecline,2500,2000,500,150000,3,Wakefield,687,108,26852.12762,75943.18905000002
1,SingleMonoIncline,3500,2000,800,100000,3,Dumfries,1200,115.2,20178.33546,57926.78865000001
4,GullWing,3000,2500,900,40000,6,Thurso,1800,86.4,14553.17608,40840.93020000001
2,SingleMonoDecline,3500,1000,250,29000,3,Derby,630,20.25,7551.29686,21915.39215
4,GullWing,2000,1000,250,9000,6,Bolton,644,12,4443.4422,13057.635499999999
2,SingleMonoDecline,2000,900,600,20000,3,Medway,797,36,4475.876920000001,13773.962299999997
3,DuoMono,2000,1500,250,150000,6,Sheffield,634,142.5,52330.5359,144207.92974999995
2,SingleMonoDecline,3500,1000,600,150000,3,Canterbury,769,250.2,33466.55396,95087.1349
2,SingleMonoDecline,2000,1000,1000,200000,3,Walsall,530,555,35752.58698,102943.85745
3,DuoMono,2000,900,800,50000,6,London North,751,244.8,19762.695149999996,56049.407875
3,DuoMono,1500,2000,900,50000,6,Thurso,1800,129.6,15776.61735,44740.61337499999
4,GullWing,2333,1250,500,9000,6,Aberdeen,1645,21,4811.25538,14917.368449999996
3,DuoMono,2000,750,700,100000,6,Oxford,530,504,40099.285149999996,112802.402875
4,GullWing,2333,1250,250,200000,6,Southend on Sea,690,225,62865.22591999999,175494.33479999998
4,GullWing,2333,1250,450,200000,6,Magor - Cavan,1450,405,62865.22591999999,178534.33479999998
2,SingleMonoDecline,1500,2500,250,60000,3,Salisbury,493,17.25,9911.15194,28370.589849999997
4,GullWing,3000,1000,1000,60000,6,Ipswich,761,336,25768.640559999996,71900.1514
3,DuoMono,3500,1000,400,15000,6,Oxford,530,33.6,9475.34785,26295.27962499999
3,DuoMono,1500,1500,700,150000,6,St Albans,760,399,47865.3359,133422.92975
4,GullWing,2333,900,250,9000,6,Bradford,734,13.5,4961.8978,14504.574499999999
4,GullWing,3000,1500,600,15000,6,Magor - Wexford,1750,32.4,6545.15032,19478.705799999996
1,SingleMonoIncline,2500,1750,450,200000,3,Aberdeen,1645,147.15,35881.03427999999,103184.57570000002
1,SingleMonoIncline,1500,2500,250,50000,3,Birmingham,543,14.25,8234.6964,23700.770999999997
2,SingleMonoDecline,2500,1000,1200,75000,3,London SW,761,248.4,14790.497780000002,42642.434450000015
2,SingleMonoDecline,3000,1000,1000,15000,3,Blackburn,693,42,4430.425219999999,13373.933049999996
2,SingleMonoDecline,3000,1500,400,300000,3,Magor - Newry,1395,228,58300.149639999996,167648.4841
4,GullWing,1500,1500,400,15000,6,Portsmouth,582,21.6,4615.730320000001,13487.155799999999
4,GullWing,2000,1000,700,40000,6,Southend on Sea,690,155.4,13621.917280000001,38679.58320000001
1,SingleMonoIncline,3500,750,300,100000,3,London NW,760,108,23195.601059999997,66778.75265000001
4,GullWing,4000,750,1000,29000,6,Perth,1500,210,16619.06418,46427.57045000001
3,DuoMono,1750,1134,800,250000,6,Durham,914,988.8,86252.99422000002,241687.51554999998
2,SingleMonoDecline,4000,750,200,40000,3,Llandrindod Wells,465,28.8,11018.563999999998,31464.039999999997
2,SingleMonoDecline,1750,1000,700,15000,3,Blackpool,710,29.4,3756.32522,11705.683049999998
2,SingleMonoDecline,2500,900,600,200000,3,Hemel Hempstead,697,367.2,38836.58218,112262.44544999998
1,SingleMonoIncline,2000,2500,200,50000,3,Birmingham,543,11.4,8723.6064,24923.046
4,GullWing,4000,1750,200,60000,6,Magor - Kilkenny,1650,39.6,27082.267460000003,75563.81865
1,SingleMonoIncline,1500,1134,200,20000,3,London North,751,9.6,4073.75588,12601.0597
3,DuoMono,1500,1250,700,150000,6,Paisley,1400,474.6,49238.27560000001,139869.679
1,SingleMonoIncline,1750,2000,900,40000,3,Sunderland,929,51.3,7515.109799999998,22287.8045
2,SingleMonoDecline,1750,1134,250,100000,3,Portsmouth,582,61.5,17357.92298,50091.35745000002
1,SingleMonoIncline,2000,1250,200,15000,3,Nottingham,641,6.6,3747.232920000001,11522.7523
3,DuoMono,2000,1500,450,50000,6,Colchester,726,86.4,18971.0469,53272.16725
4,GullWing,2333,1134,800,300000,6,Sunderland,929,1185.6,94606.35369999999,266158.43425
4,GullWing,2333,1500,450,250000,6,Harrogate,744,426.6,74611.14336,207605.3684
1,SingleMonoIncline,1500,1250,200,100000,3,Leicester,594,45,16643.25006,48103.875150000014
3,DuoMono,1500,1134,900,200000,6,Magor - Killarney,1950,891,66062.4616,190320.06399999995
1,SingleMonoIncline,2500,2500,1200,250000,3,Liverpool,594,349.2,44265.59628,124308.5807
4,GullWing,3500,1750,700,250000,6,Magor - Dublin,1450,575.4,90517.35802000001,251074.10504999998
2,SingleMonoDecline,3000,900,800,20000,3,Gloucester,465,48,5100.056919999999,15002.412299999998
1,SingleMonoIncline,3500,1134,250,200000,3,Bolton,644,123.75,43223.85112,122293.09780000003
1,SingleMonoIncline,3000,1750,250,200000,3,Kilmarnock,1100,81.75,37919.38428,108290.45070000002
4,GullWing,1500,1500,450,100000,6,Leicester,594,170.1,25261.87816,71591.4054
4,GullWing,4000,1250,250,50000,6,Bolton,644,57,24449.70772,66841.1393
3,DuoMono,2500,900,600,100000,6,Bournemouth,760,367.2,42247.75194999999,117769.16987499999
1,SingleMonoIncline,3500,2000,200,200000,3,Magor - Wexford,1750,57.6,39474.31978,113732.58945
3,DuoMono,4000,1750,1000,300000,6,Blackpool,710,984,132525.5967,357553.7417499999
3,DuoMono,3500,2500,400,250000,6,Magor - Derry,1450,232.8,97404.1355,267068.16874999995
2,SingleMonoDecline,4000,2500,900,300000,3,Hereford,414,313.2,60276.6868,166009.14700000006
4,GullWing,3500,1134,450,60000,6,Exeter,594,132.3,25465.4841,69949.38025000002
4,GullWing,2333,2500,700,250000,6,Brighton,765,407.4,68426.61779999999,187775.25449999998
3,DuoMono,3000,1000,700,200000,6,Twickenham,742,777,88127.62995000002,242201.90487499995
3,DuoMono,3500,2500,300,50000,6,Reading,530,34.2,19974.97515,54192.50787499999
1,SingleMonoIncline,2000,1750,400,20000,3,Galashiels,1200,13.2,4330.751620000001,13540.549050000001
1,SingleMonoIncline,2333,2000,600,20000,3,Magor - Dublin,1450,18,4540.95514,14285.657849999998
3,DuoMono,1750,1134,500,300000,6,Manchester,621,741,102117.62049,284219.121225
2,SingleMonoDecline,1500,2500,1000,200000,3,Coventry,541,234,31990.798119999996,90715.66530000004
3,DuoMono,3000,750,300,9000,6,Colchester,726,19.8,5888.4422,16934.535499999998
2,SingleMonoDecline,2500,1134,900,20000,3,London East,760,43.2,4650.41588,14051.7097
3,DuoMono,2500,1000,300,60000,6,Leicester,594,100.8,25500.1573,70790.14325
2,SingleMonoDecline,4000,1250,400,9000,3,Swindon,460,8.4,3109.5631800000006,9218.897949999999
2,SingleMonoDecline,2000,2000,500,250000,3,Hereford,414,180,41775.971939999996,117836.63985
3,DuoMono,1750,1250,600,75000,6,Redhill,767,201.6,25721.749649999998,72097.204125
3,DuoMono,4000,1134,800,15000,6,Telford,493,57.6,9578.644089999998,26394.920224999994
3,DuoMono,3500,2500,250,250000,6,Kingston Upon Thames,754,145.5,97404.1355,262892.16874999995
1,SingleMonoIncline,1500,1500,600,100000,3,Walsall,530,113.4,16402.457459999998,47073.093649999995
3,DuoMono,2333,1500,500,150000,6,London W,750,285,55302.1799,152735.03974999994
2,SingleMonoDecline,4000,1500,250,10000,3,Cambridge,720,4.5,3077.0733800000003,9367.27345
3,DuoMono,4000,750,700,60000,6,Romford,810,302.4,35187.3037,96412.80925
4,GullWing,2500,2000,800,150000,6,Dorchester,560,345.6,44248.60432,121397.2608
4,GullWing,2000,1134,500,20000,6,London W,750,48,7782.8506,22431.836499999994
4,GullWing,1750,1250,700,250000,6,London East,760,789.6,67498.32272,190967.3168
4,GullWing,1750,900,700,50000,6,Guildford,660,214.2,16251.287320000001,46507.4883
1,SingleMonoIncline,2333,1750,900,40000,3,Magor - Cork,1850,59.4,8236.840540000001,25104.331350000004
2,SingleMonoDecline,2500,1250,1200,60000,3,Carlisle,950,162,11838.73544,34315.3486
1,SingleMonoIncline,4000,1500,450,100000,3,Northampton,582,85.05,21879.257459999993,61399.093649999995
2,SingleMonoDecline,3500,1500,900,29000,3,Magor - Dublin,1450,48.6,7105.03366,21346.13415
3,DuoMono,1500,900,900,75000,6,Ipswich,761,415.8,27163.418599999997,77373.25650000002
2,SingleMonoDecline,2000,900,600,75000,3,Kilmarnock,1100,138.6,14737.582919999999,43499.42730000001
2,SingleMonoDecline,4000,2000,500,10000,3,Stockport,600,7.5,3166.51148,9440.4687
1,SingleMonoIncline,3500,1500,500,75000,3,Magor - Derry,1450,70.5,15715.54928,44975.26320000001
3,DuoMono,2500,1500,700,15000,6,Swindon,460,37.8,7254.78565,20369.87412499999
3,DuoMono,2000,750,900,20000,6,Huddersfield,695,129.6,9314.68225,26666.615624999988
4,GullWing,2500,2500,300,60000,6,Dumfries,1200,41.4,17887.5036,49435.628999999986
4,GullWing,2500,1134,300,250000,6,Salisbury,493,370.8,82640.63028,229342.48570000002
3,DuoMono,1500,1500,1200,60000,6,Oldham,642,273.6,19604.120100000004,55051.65025
2,SingleMonoDecline,1500,1250,300,15000,3,Blackburn,693,9.9,3502.22292,10962.2273
4,GullWing,3500,900,500,200000,6,Exeter,594,612,87835.66352000002,241413.62879999998
2,SingleMonoDecline,3000,1750,600,75000,3,Peterborough,750,73.8,15511.91312,43990.85279999999
3,DuoMono,1500,1000,500,50000,6,Bradford,734,138,17372.94615,49003.035375
2,SingleMonoDecline,2333,1750,1000,300000,3,Dartford,765,492,53216.223679999996,150863.26919999998
1,SingleMonoIncline,3000,1750,600,50000,3,Canterbury,769,48.6,10027.549799999999,28652.1045
4,GullWing,2500,1134,1200,40000,6,Salisbury,493,237.6,14962.60626,41591.105650000005
1,SingleMonoIncline,2333,1750,250,300000,3,Dumfries,1200,123,53216.223679999996,152168.26919999998
4,GullWing,1750,1134,200,29000,6,Northampton,582,28.8,9165.86132,26207.763299999988
1,SingleMonoIncline,3500,1500,500,150000,3,Warrington,606,142.5,31607.31276,88775.4319
2,SingleMonoDecline,4000,2000,1200,40000,3,Canterbury,769,68.4,9592.6248,27321.591999999997
3,DuoMono,3500,1000,700,150000,6,Bath,499,583.8,73187.06850000001,199617.46124999996
1,SingleMonoIncline,3000,1500,700,50000,3,Aberdeen,1645,67.2,11082.30644,32724.0761
2,SingleMonoDecline,2000,1134,600,250000,3,Wakefield,687,370.8,44545.602040000005,128601.19510000001
3,DuoMono,4000,1134,300,29000,6,Slough,610,43.2,16446.918680000002,44819.28670000001
3,DuoMono,2000,2000,700,75000,6,Medway,797,151.2,25085.26685,69349.99712500001
4,GullWing,1500,750,600,100000,6,Dundee,1394,432,29083.43356,86210.89390000004
4,GullWing,2333,1134,450,250000,6,Peterborough,750,556.2,79581.0834,222978.6185
4,GullWing,3000,1134,700,15000,6,Liverpool,594,50.4,7057.946799999999,19787.097
2,SingleMonoDecline,3500,750,200,20000,3,Milton Keynes,582,14.4,5656.499019999998,16632.117549999995
3,DuoMono,2000,1250,600,9000,6,London North,751,25.2,4565.6756000000005,13409.418999999996
1,SingleMonoIncline,2500,900,300,150000,3,Llandudno,854,137.7,29325.73442,84923.60605000003
4,GullWing,3500,1750,400,60000,6,Northampton,582,79.2,24913.86746,68006.81865
2,SingleMonoDecline,2000,750,1000,40000,3,Slough,610,144,8482.844,25269.74
2,SingleMonoDecline,4000,900,500,20000,3,Twickenham,742,30,5724.236919999999,16839.8623
2,SingleMonoDecline,3500,1750,700,200000,3,Thurso,1800,228.9,39957.73428,115486.32570000002
3,DuoMono,2000,1000,1000,15000,6,Hemel Hempstead,697,84,7394.187849999999,21259.379624999987
2,SingleMonoDecline,3000,2000,1200,100000,3,Kilmarnock,1100,172.8,19172.07546,55211.13865000001
3,DuoMono,1500,1000,600,60000,6,Magor - Derry,1450,201.6,21020.3173,61302.543249999995
2,SingleMonoDecline,3500,2000,900,20000,3,Dartford,765,27,5146.591819999999,15114.749549999999
2,SingleMonoDecline,3000,1134,400,150000,3,Magor - Kilkenny,1650,148.8,31025.180199999995,90289.7005
3,DuoMono,2000,2500,400,75000,6,Darlington,829,69.6,24387.429050000002,67243.80262500001
1,SingleMonoIncline,2500,900,800,40000,3,Southend on Sea,690,98.4,8968.1593,26350.228250000004
4,GullWing,2000,1000,800,150000,6,Colchester,726,667.2,46990.35312,133256.5128
3,DuoMono,4000,1000,1000,15000,6,Magor - Limerick,1750,84,10169.06785,29249.57962499999
3,DuoMono,3500,750,250,60000,6,Newcastle Upon Tyne,941,108,32567.2237,90124.60925
4,GullWing,1500,2500,1000,20000,6,Hemel Hempstead,697,48,6414.318399999999,18471.105999999992
2,SingleMonoDecline,2333,1250,200,29000,3,Magor - Waterford,1750,13.2,6411.854980000001,20034.78745
3,DuoMono,3000,1250,300,9000,6,Magor - Donegal,1550,12.6,5336.6756,16135.918999999996
4,GullWing,2500,2500,300,200000,6,Wakefield,687,140.4,57606.882320000004,157958.8758
3,DuoMono,3500,900,1200,200000,6,Galashiels,1200,1468.8,98547.78555,272897.493875
1,SingleMonoIncline,1500,750,700,150000,3,Guildford,660,380.1,26509.34056,78752.90139999997
4,GullWing,4000,750,1200,29000,6,Hull,753,252,16619.06418,45680.57045000001
3,DuoMono,2333,1500,400,10000,6,Motherwell,1300,14.4,4737.69258,14327.661449999998
3,DuoMono,2000,2000,250,20000,6,Magor - Derry,1450,15,8092.03665,23513.80162499999
3,DuoMono,3000,1000,250,20000,6,Milton Keynes,582,28.5,10606.980249999999,29480.360624999987
1,SingleMonoIncline,2333,1500,900,300000,3,Harrow,751,513,53960.68552000001,153472.8238
4,GullWing,1500,2500,300,40000,6,Crewe,555,28.8,10594.976079999999,29700.430200000003
4,GullWing,4000,1000,700,75000,6,Ilford,779,289.8,35555.09192,97192.67980000003
1,SingleMonoIncline,2333,1500,800,50000,3,Manchester,621,76.8,10250.7016,29621.063999999995
4,GullWing,4000,2000,300,10000,6,Carlisle,950,9,6604.14856,18583.001399999997
4,GullWing,3000,1500,700,150000,6,Wolverhampton,530,399,53331.06131999999,145845.08329999997
3,DuoMono,3500,1250,400,29000,6,Bournemouth,760,52.8,15028.9384,41302.73600000001
3,DuoMono,2000,2500,800,29000,6,Falkirk,1290,52.8,10637.564,30185.500000000007
3,DuoMono,4000,750,1200,250000,6,Twickenham,742,2167.2,141240.05825000003,385890.0956250001
4,GullWing,2333,2500,300,200000,6,Magor - Wexford,1750,140.4,55740.33668,157544.51170000003
3,DuoMono,3500,2500,900,15000,6,Tonbridge,760,32.4,8181.73465,22804.84662499999
2,SingleMonoDecline,1750,900,500,300000,3,Truro,860,459,52020.42769999999,152068.49925000008
4,GullWing,4000,750,700,10000,6,Crewe,555,50.4,7771.408959999999,21531.7524
3,DuoMono,1750,1500,600,75000,6,Exeter,594,169.2,24906.73105,69166.45762500001
1,SingleMonoIncline,1500,2000,1000,200000,3,Hereford,414,288,31602.55978,89631.18945
4,GullWing,2500,750,600,150000,6,Perth,1500,651.6,57661.41802,166309.77504999997
1,SingleMonoIncline,3500,900,250,15000,3,Cambridge,720,11.25,4657.56712,13999.187799999998
1,SingleMonoIncline,1750,2500,400,10000,3,Magor - Donegal,1550,4.8,2453.53668,8577.6317
3,DuoMono,1750,1134,1000,75000,6,Romford,810,372,27346.61684,77017.25210000001
2,SingleMonoDecline,4000,900,800,200000,3,Crewe,555,489.6,46664.962179999995,131407.39545
4,GullWing,2500,1134,1000,60000,6,Liverpool,594,294,20822.0841,58340.88025
4,GullWing,2000,900,600,60000,6,Ipswich,761,219.6,19592.47116,56330.4479
1,SingleMonoIncline,2333,750,600,50000,3,Lincoln,689,108,10313.63406,30290.515150000003
2,SingleMonoDecline,3000,2500,1000,15000,3,Reading,530,18,4173.40682,12325.187049999999
4,GullWing,1500,2500,450,15000,6,Twickenham,742,16.2,5627.178080000001,16426.6552
2,SingleMonoDecline,2333,2500,1200,15000,3,Portsmouth,582,21.6,3877.12598,11636.48495
3,DuoMono,1750,1500,600,60000,6,London West Central,756,136.8,20510.240100000003,57544.95024999999
4,GullWing,1750,1750,1200,200000,6,Exeter,594,784.8,51386.49006,143326.69515
3,DuoMono,3500,1250,800,40000,6,Chelmsford,670,144,19882.12875,54909.191875000004
1,SingleMonoIncline,1500,1134,900,250000,3,Norwich,839,556.2,41535.462040000006,121531.84510000002
2,SingleMonoDecline,2000,900,450,10000,3,Croydon,765,13.5,2625.0354800000005,8403.778699999999
2,SingleMonoDecline,1500,900,500,250000,3,Huddersfield,695,382.5,41846.06994,122958.88485000002
4,GullWing,3000,900,250,10000,6,Bradford,734,15,6104.434559999999,17421.716399999998
4,GullWing,1500,900,700,200000,6,Ilford,779,856.8,54716.38352,158761.4288
2,SingleMonoDecline,3000,2500,900,150000,3,Brighton,765,156.6,27820.34042,78094.12105000002
1,SingleMonoIncline,3500,1000,200,9000,3,Dumfries,1200,4.8,2932.93298,9547.72245
3,DuoMono,2333,750,600,60000,6,London West Central,756,259.2,26451.085300000002,74464.26325
1,SingleMonoIncline,1500,2500,300,250000,3,Stockport,600,87.3,39540.23628,112513.18070000001
4,GullWing,1750,750,450,250000,6,Magor - Belfast,1350,812.7,76244.71882000001,223413.70705
2,SingleMonoDecline,3500,1250,900,10000,3,Motherwell,1300,21.6,3163.22588,10223.4547
1,SingleMonoIncline,2500,1000,250,29000,3,Bolton,644,20.25,6688.436860000001,19772.242150000002
1,SingleMonoIncline,3500,1750,1200,50000,3,Sunderland,929,97.2,10563.9798,30153.179500000002
1,SingleMonoIncline,2333,1134,450,75000,3,Telford,493,83.7,15000.677039999999,43094.1626
2,SingleMonoDecline,1500,2000,450,250000,3,Preston,670,162,39327.191940000004,112482.68985
1,SingleMonoIncline,3500,2500,450,150000,3,Dudley,500,78.3,29224.280420000003,81073.97105000002
3,DuoMono,3500,1000,600,40000,6,Magor - Portlaoise,1550,133.2,21173.721749999997,60323.77437499999
3,DuoMono,4000,2000,1000,15000,6,Bolton,644,42,8611.019849999999,23822.859624999994
4,GullWing,4000,1750,450,29000,6,Newport,344,43.2,13343.75988,35928.1097
2,SingleMonoDecline,4000,1000,900,40000,3,Bristol,430,99.9,10552.7541,29930.115249999995
3,DuoMono,3500,1750,800,10000,6,Nottingham,641,24,5355.5148,15152.416999999996
1,SingleMonoIncline,3000,750,500,29000,3,Peterborough,750,52.5,7399.920260000001,21900.150650000003
2,SingleMonoDecline,2500,2500,500,250000,3,Stockport,600,145.5,44265.59628,124326.5807
4,GullWing,2500,2000,800,40000,6,Magor - Ballymena,1395,91.2,13299.849719999998,37485.01430000001
4,GullWing,3000,1250,500,300000,6,Wigan,628,678,108038.52612000001,297717.3453000001
4,GullWing,3500,1250,300,200000,6,Swansea,571,270,79466.40776000002,217092.28939999998
2,SingleMonoDecline,3500,2000,400,150000,3,London NW,760,86.4,29826.327619999996,83524.68905000003
4,GullWing,2333,1500,250,250000,6,Worcester,456,237,74611.14336,206165.3684
3,DuoMono,4000,750,700,200000,6,London West Central,756,1012.2,114725.6612,314090.86299999995
1,SingleMonoIncline,4000,1134,1000,200000,3,Lancaster,769,495,45652.17112,128738.89780000004
1,SingleMonoIncline,3000,1750,300,60000,3,Manchester,621,29.7,12181.12784,34477.5296
1,SingleMonoIncline,1750,1750,450,15000,3,Blackburn,693,10.8,3561.37852,11018.916299999999
4,GullWing,3000,2000,400,150000,6,Magor - Ballymena,1395,172.8,48682.664319999996,134987.4108
1,SingleMonoIncline,3000,1750,700,250000,3,Magor - Killarney,1950,287.7,48120.68328,139230.29820000002
4,GullWing,2000,750,800,300000,6,Wolverhampton,530,1732.8,97403.88922000001,277689.47305000003
1,SingleMonoIncline,2333,750,500,20000,3,Bournemouth,760,36,4856.7669,14810.787249999996
4,GullWing,3000,2500,300,10000,6,Salisbury,493,7.2,5376.10136,14995.083399999998
1,SingleMonoIncline,1750,1750,200,200000,3,Crewe,555,65.4,32823.50928,93360.76320000002
1,SingleMonoIncline,4000,1000,600,75000,3,Chester,586,124.2,17676.07778,49681.38445000002
3,DuoMono,2333,2000,900,50000,6,Crewe,555,129.6,17981.808230000002,49008.590574999995
2,SingleMonoDecline,2333,1000,900,10000,3,London West Central,756,24.3,2710.3716400000003,8577.7191
1,SingleMonoIncline,2000,1134,900,60000,3,Birmingham,543,132.3,11149.267979999999,32306.279949999996
4,GullWing,1500,1500,200,50000,6,Sutton,759,38.4,13889.05952,39545.718799999995
1,SingleMonoIncline,3500,1250,1000,100000,3,Chester,586,225,21309.81006,60348.275150000016
3,DuoMono,3000,1750,1200,200000,6,London West Central,756,784.8,76914.02685000001,209617.09712499994
1,SingleMonoIncline,1500,1000,1000,150000,3,Stoke on Trent,582,417,25724.15396,75357.13489999999
2,SingleMonoDecline,2000,750,1200,300000,3,Llandudno,854,1299.6,55284.99070000001,162737.90675000005
3,DuoMono,1750,1134,300,100000,6,Redhill,767,147.6,34669.02359,96860.34897499999
2,SingleMonoDecline,2500,2500,300,60000,3,Stockport,600,20.7,11092.01194,31429.739849999994
3,DuoMono,2500,1750,250,15000,6,Lincoln,689,12,7205.490249999999,20414.835624999992
1,SingleMonoIncline,1500,1500,700,60000,3,Lincoln,689,79.8,10271.22684,29922.777099999996
3,DuoMono,1500,1000,1000,75000,6,Cardiff,395,414,25532.28005,71669.93012500004
3,DuoMono,1750,2000,250,15000,6,Lincoln,689,10.5,6299.0098499999995,18087.834624999996
3,DuoMono,2333,750,300,50000,6,London East Central,751,108,22066.20239,62355.375975
4,GullWing,1500,1250,700,20000,6,Enfield,761,63,6806.2313,19940.48824999999
1,SingleMonoIncline,2000,900,700,250000,3,Magor - Enniskillen,1450,535.5,45096.74994,133350.58485
4,GullWing,1500,1750,1200,50000,6,Preston,670,194.4,13386.493060000003,37896.30265
2,SingleMonoDecline,2500,2500,1000,75000,3,Hull,753,87,13604.79578,38454.17945000001
4,GullWing,2333,1134,400,40000,6,Torquay,560,79.2,14400.644579999998,40253.20145000001
2,SingleMonoDecline,3500,1500,450,200000,3,Nottingham,641,171.45,41651.98331999999,117199.22830000003
4,GullWing,1500,2000,200,250000,6,Hemel Hempstead,697,144,58470.175160000006,164010.54789999998
4,GullWing,4000,1000,1000,20000,6,Cardiff,395,114,12567.507599999999,34220.87900000001
3,DuoMono,3500,2500,500,200000,6,York,754,234,78697.76350000002,212588.71875
2,SingleMonoDecline,4000,1250,300,150000,3,Truro,860,101.7,34165.824160000004,96226.91040000001
4,GullWing,3500,2500,450,20000,6,Bolton,644,21.6,9818.7184,26929.105999999992
1,SingleMonoIncline,2500,1000,300,300000,3,Kingston Upon Thames,754,250.2,57719.81204,166308.8401
4,GullWing,2000,1750,700,300000,6,Sutton,759,688.8,81286.09472000001,226465.66679999995
1,SingleMonoIncline,4000,900,300,60000,3,Redhill,767,54.9,14786.503240000002,41988.168099999995
4,GullWing,4000,750,900,9000,6,Worcester,456,59.4,7397.171299999999,20436.35825
1,SingleMonoIncline,3500,1000,200,10000,3,Canterbury,769,5.4,3120.6706799999997,9616.466699999997
2,SingleMonoDecline,2500,1750,300,100000,3,Tonbridge,760,49.5,19130.4888,55047.051999999996
4,GullWing,2500,2000,600,100000,6,Luton,718,172.8,30498.823119999994,84019.76780000003
1,SingleMonoIncline,3000,750,900,15000,3,Wakefield,687,48.6,4558.9344200000005,13810.80605
3,DuoMono,3000,1000,400,75000,6,Harrow,751,165.6,33726.96005000001,92868.63012500004
4,GullWing,2333,1250,500,10000,6,Edinburgh,1300,24,5124.36472,15415.941799999999
1,SingleMonoIncline,3000,1000,600,15000,3,Leicester,594,25.2,4430.425219999999,13274.933049999996
4,GullWing,3500,1000,500,40000,6,Magor - Limerick,1750,111,18925.79728,54749.283200000005
4,GullWing,2000,1000,700,75000,6,Ipswich,761,289.8,23478.77192,66965.8798
4,GullWing,2000,1500,500,50000,6,Llandudno,854,96,15793.15952,44400.968799999995
4,GullWing,1750,2500,450,20000,6,Darlington,829,21.6,6839.8684,19666.980999999992
2,SingleMonoDecline,2000,1134,600,60000,3,Magor - Newry,1395,88.2,11149.267979999999,33158.27995
1,SingleMonoIncline,3000,1250,700,200000,3,Inverness,1700,315,39409.36608,115061.80520000002
3,DuoMono,1500,1000,400,50000,6,Hull,753,110.4,17372.94615,49022.035375
1,SingleMonoIncline,2333,2000,250,75000,3,York,754,27,13567.005019999999,38573.50255
3,DuoMono,2500,1000,900,75000,6,Brighton,765,372.6,30995.400050000004,86067.73012500005
2,SingleMonoDecline,2500,1250,250,15000,3,Bolton,644,8.25,3992.24292,12138.2773
3,DuoMono,1750,1750,450,40000,6,Magor - Killarney,1950,59.4,14406.030750000004,41342.546875
4,GullWing,2000,1250,400,300000,6,Kilmarnock,1100,542.4,86811.00612,245752.54529999997
1,SingleMonoIncline,3000,1500,700,40000,3,York,754,52.5,8885.083599999998,25720.139
2,SingleMonoDecline,1750,1750,600,300000,3,Magor - Cork,1850,295.2,49602.31483999999,145083.49709999995
3,DuoMono,2000,750,500,10000,6,Dudley,500,36,5223.1203,15106.030749999996
4,GullWing,2333,2500,300,150000,6,Enfield,761,104.4,41319.11684,113825.34210000001
